日期,收盘
2005-09-12,112.3815
2005-09-13,112.3962
2005-09-14,112.4527
2005-09-15,112.471
2005-09-16,112.5549
2005-09-19,112.6615
2005-09-20,112.5754
2005-09-21,112.595
2005-09-22,112.7602
2005-09-23,112.7993
2005-09-26,112.8255
2005-09-27,112.6601
2005-09-28,112.8478
2005-09-29,112.8694
2005-09-30,112.8663
2005-10-08,113.0197
2005-10-09,113.0158
2005-10-10,112.999
2005-10-11,113.1361
2005-10-12,113.1481
2005-10-13,113.1961
2005-10-14,113.1398
2005-10-17,113.294
2005-10-18,113.2015
2005-10-19,113.3821
2005-10-20,113.4726
2005-10-21,113.5053
2005-10-24,113.6444
2005-10-25,113.4636
2005-10-26,113.6233
2005-10-27,113.5887
2005-10-28,113.4604
2005-10-31,113.3405
2005-11-01,113.2572
2005-11-02,113.3919
2005-11-03,113.4103
2005-11-04,113.3489
2005-11-07,113.4665
2005-11-08,113.2178
2005-11-09,113.0683
2005-11-10,113.0003
2005-11-11,112.8471
2005-11-14,113.0156
2005-11-15,113.001
2005-11-16,112.8678
2005-11-17,112.8407
2005-11-18,112.7503
2005-11-21,112.7579
2005-11-22,112.865
2005-11-23,112.7384
2005-11-24,112.8679
2005-11-25,112.8454
2005-11-28,112.64
2005-11-29,112.582
2005-11-30,112.7635
2005-12-01,112.7142
2005-12-02,112.8738
2005-12-05,112.9801
2005-12-06,113.126
2005-12-07,112.9467
2005-12-08,113.0724
2005-12-09,112.9789
2005-12-12,113.1598
2005-12-13,113.2242
2005-12-14,113.2279
2005-12-15,113.2776
2005-12-16,113.3013
2005-12-19,113.2667
2005-12-20,113.2992
2005-12-21,113.3119
2005-12-22,113.3346
2005-12-23,113.2914
2005-12-26,113.4472
2005-12-27,113.3846
2005-12-28,113.3693
2005-12-29,113.3627
2005-12-30,113.4183
2005-12-31,113.399
2006-01-04,113.2125
2006-01-05,113.3975
2006-01-06,113.5282
2006-01-09,113.6936
2006-01-10,113.8044
2006-01-11,113.8103
2006-01-12,113.896
2006-01-13,114.0113
2006-01-16,113.8935
2006-01-17,113.985
2006-01-18,114.0798
2006-01-19,114.0803
2006-01-20,114.0701
2006-01-23,113.9408
2006-01-24,114.0252
2006-01-25,114.1739
2006-01-26,114.2128
2006-01-27,114.2649
2006-01-28,114.2408
2006-02-05,114.2697
2006-02-06,114.0844
2006-02-07,114.1036
2006-02-08,114.0439
2006-02-09,114.1806
2006-02-10,114.2801
2006-02-13,114.2876
2006-02-14,114.072
2006-02-15,114.1931
2006-02-16,114.2687
2006-02-17,114.3099
2006-02-20,114.1143
2006-02-21,114.0784
2006-02-22,114.1099
2006-02-23,114.1224
2006-02-24,114.064
2006-02-27,114.1088
2006-02-28,114.2639
2006-03-01,114.2427
2006-03-02,114.2565
2006-03-03,114.3219
2006-03-06,114.2527
2006-03-07,114.3712
2006-03-08,114.2588
2006-03-09,114.5293
2006-03-10,114.4578
2006-03-13,114.4427
2006-03-14,114.4992
2006-03-15,114.5415
2006-03-16,114.4472
2006-03-17,114.4632
2006-03-20,114.4385
2006-03-21,114.519
2006-03-22,114.4545
2006-03-23,114.3965
2006-03-24,114.4655
2006-03-27,114.4798
2006-03-28,114.4884
2006-03-29,114.4678
2006-03-30,114.4534
2006-03-31,114.5049
2006-04-03,114.5335
2006-04-04,114.5733
2006-04-05,114.5402
2006-04-06,114.474
2006-04-07,114.5276
2006-04-10,114.5653
2006-04-11,114.4644
2006-04-12,114.4322
2006-04-13,114.4466
2006-04-14,114.4771
2006-04-17,114.452
2006-04-18,114.3078
2006-04-19,114.2788
2006-04-20,114.3025
2006-04-21,114.3819
2006-04-24,114.4253
2006-04-25,114.4411
2006-04-26,114.3776
2006-04-27,114.372
2006-04-28,114.4482
2006-04-29,114.4112
2006-04-30,114.4792
2006-05-08,114.4529
2006-05-09,114.4726
2006-05-10,114.5528
2006-05-11,114.5546
2006-05-12,114.5249
2006-05-15,114.5016
2006-05-16,114.5502
2006-05-17,114.6014
2006-05-18,114.5355
2006-05-19,114.5681
2006-05-22,114.6636
2006-05-23,114.5938
2006-05-24,114.5897
2006-05-25,114.618
2006-05-26,114.5183
2006-05-29,114.5897
2006-05-30,114.5865
2006-05-31,114.604
2006-06-01,114.5653
2006-06-02,114.53
2006-06-05,114.5243
2006-06-06,114.5286
2006-06-07,114.3288
2006-06-08,114.4541
2006-06-09,114.4616
2006-06-12,114.4373
2006-06-13,114.301
2006-06-14,114.2902
2006-06-15,114.2915
2006-06-16,114.1586
2006-06-19,114.1401
2006-06-20,114.114
2006-06-21,113.9502
2006-06-22,114.0451
2006-06-23,114.0122
2006-06-26,114.0718
2006-06-27,114.2414
2006-06-28,114.0707
2006-06-29,114.1281
2006-06-30,114.1232
2006-07-03,114.2274
2006-07-04,114.1869
2006-07-05,114.1099
2006-07-06,114.11
2006-07-07,114.0453
2006-07-10,114.2479
2006-07-11,114.2873
2006-07-12,114.2383
2006-07-13,114.2722
2006-07-14,114.2389
2006-07-17,114.2251
2006-07-18,114.2223
2006-07-19,114.2915
2006-07-20,114.2263
2006-07-21,114.2133
2006-07-24,114.1581
2006-07-25,114.1389
2006-07-26,114.0783
2006-07-27,114.1196
2006-07-28,114.0251
2006-07-31,114.0682
2006-08-01,114.0114
2006-08-02,114.0202
2006-08-03,114.1387
2006-08-04,114.0209
2006-08-07,114.1928
2006-08-08,114.1755
2006-08-09,114.203
2006-08-10,114.2536
2006-08-11,114.2068
2006-08-14,114.2764
2006-08-15,114.3342
2006-08-16,114.3853
2006-08-17,114.4234
2006-08-18,114.5048
2006-08-21,114.3525
2006-08-22,114.3705
2006-08-23,114.467
2006-08-24,114.457
2006-08-25,114.4337
2006-08-28,114.4689
2006-08-29,114.5212
2006-08-30,114.5589
2006-08-31,114.574
2006-09-01,114.6445
2006-09-04,114.6087
2006-09-05,114.6456
2006-09-06,114.6781
2006-09-07,114.6904
